upstream_index,item_id,source_group_id,staff_spacing_px,estimator_id,staff_sequence_count,selection_rank
343,smb-test-000343,mozart_sonata04_2,9.804349,region-deskew-horizontal-morphology-v1,13,46
86,smb-test-000086,landini_dimmitu_4x4,8.750000,region-deskew-horizontal-morphology-v1,15,47
314,smb-test-000314,chopin_mazurka67_1,9.100393,region-deskew-horizontal-morphology-v1,11,48
205,smb-test-000205,beethoven_sonata25_1,8.783678,region-deskew-horizontal-morphology-v1,6,49
160,smb-test-000160,scarlatti_l301k049,9.973072,region-deskew-horizontal-morphology-v1,12,50
37,smb-test-000037,haydn_op74n1_02,7.468967,region-deskew-horizontal-morphology-v1,14,51
458,smb-test-000458,chopin_etude10_09,8.996033,region-deskew-horizontal-morphology-v1,12,52
610,smb-test-000610,chopin_mazurka68_4,9.780185,region-deskew-horizontal-morphology-v1,10,53
612,smb-test-000612,scarlatti_l334k122,10.159617,region-deskew-horizontal-morphology-v1,10,54
534,smb-test-000534,weber_erk164,17.643029,region-deskew-horizontal-morphology-v1,2,55
367,smb-test-000367,haydn_sonata29_3,10.146731,region-deskew-horizontal-morphology-v1,14,56
121,smb-test-000121,hummel_prelude67_20,10.324960,region-deskew-horizontal-morphology-v1,4,57
425,smb-test-000425,mozart_sonata07_3,10.008906,region-deskew-horizontal-morphology-v1,8,58
536,smb-test-000536,haydn_op76n2_03,8.451312,region-deskew-horizontal-morphology-v1,13,59
601,smb-test-000601,mozart_sonata06_3f,9.937758,region-deskew-horizontal-morphology-v1,5,60
237,smb-test-000237,beethoven_sonata26_1,17.878875,region-deskew-horizontal-morphology-v1,7,61
145,smb-test-000145,grieg_op66_06,10.169490,region-deskew-horizontal-morphology-v1,12,62
362,smb-test-000362,weber_erk126,17.919030,region-deskew-horizontal-morphology-v1,14,63
215,smb-test-000215,scarlatti_l154k235,10.669501,region-deskew-horizontal-morphology-v1,5,64
